timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1548159024199,enter,b2340,,diagnosis,,mobile
1548159034770,respond,q3808,,diagnosis,d,mobile
1548159038405,submit,b2340,,diagnosis,,mobile
1548159038524,enter,b1101,,diagnosis,,mobile
1548159039222,play_audio,b1101,0,diagnosis,,mobile
1548159056042,pause_audio,b1101,17033,diagnosis,,mobile
1548159059387,respond,q1101,,diagnosis,a,mobile
1548159066950,submit,b1101,,diagnosis,,mobile
1548159067023,enter,b4337,,diagnosis,,mobile
1548159090735,respond,q5805,,diagnosis,c,mobile
1548159093816,submit,b4337,,diagnosis,,mobile
1548159093883,enter,b218,,diagnosis,,mobile
1548159094488,play_audio,b218,0,diagnosis,,mobile
1548159111899,pause_audio,b218,18131,diagnosis,,mobile
1548159112893,respond,q218,,diagnosis,b,mobile
1548159116846,submit,b218,,diagnosis,,mobile
1548159116912,enter,b380,,diagnosis,,mobile
1548159117531,play_audio,b380,0,diagnosis,,mobile
1548159134344,pause_audio,b380,17587,diagnosis,,mobile
1548159134655,respond,q380,,diagnosis,b,mobile
1548159138457,submit,b380,,diagnosis,,mobile
1548159138525,enter,b7402,,diagnosis,,mobile
1548159159582,respond,q10051,,diagnosis,c,mobile
1548159163094,submit,b7402,,diagnosis,,mobile
1548159163166,enter,b3898,,diagnosis,,mobile
1548159210121,respond,q5366,,diagnosis,b,mobile
1548159216154,submit,b3898,,diagnosis,,mobile
1548159415394,enter,b1051,,sprint,,mobile
1548159416428,play_audio,b1051,0,sprint,,mobile
1548159430888,respond,q1051,,sprint,c,mobile
1548159430901,pause_audio,b1051,15157,sprint,,mobile
1548159433447,submit,b1051,,sprint,,mobile
1548159433526,enter,e1051,,sprint,,mobile
1548159440663,play_audio,b1051,0,sprint,,mobile
1548159450337,pause_audio,b1051,8613,sprint,,mobile
1548159452515,quit,e1051,,sprint,,mobile
1548159452577,enter,b457,,sprint,,mobile
1548159453131,play_audio,b457,0,sprint,,mobile
1548159463536,respond,q457,,sprint,a,mobile
1548159464606,pause_audio,b457,12210,sprint,,mobile
1548159466316,submit,b457,,sprint,,mobile
1548159466378,enter,e457,,sprint,,mobile
1548159475451,quit,e457,,sprint,,mobile
1548159475524,enter,b370,,sprint,,mobile
1548159476036,play_audio,b370,0,sprint,,mobile
1548159491637,respond,q370,,sprint,c,mobile
1548159492609,pause_audio,b370,16561,sprint,,mobile
1548159495211,submit,b370,,sprint,,mobile
1548159495279,enter,e370,,sprint,,mobile
1548159499448,quit,e370,,sprint,,mobile
1548159499515,enter,b8312,,sprint,,mobile
1548159500059,play_audio,b8312,0,sprint,,mobile
1548159516612,respond,q11259,,sprint,b,mobile
1548159517018,pause_audio,b8312,17693,sprint,,mobile
1548159519296,submit,b8312,,sprint,,mobile
1548159519349,enter,e8312,,sprint,,mobile
1548159522817,quit,e8312,,sprint,,mobile
1548159522881,enter,b1376,,sprint,,mobile
1548159523519,play_audio,b1376,0,sprint,,mobile
1548159538746,pause_audio,b1376,15857,sprint,,mobile
1548159538873,respond,q1376,,sprint,a,mobile
1548159541821,submit,b1376,,sprint,,mobile
