timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1566975202082,enter,b4811,,diagnosis,,mobile
1566975268362,respond,q6279,,diagnosis,c,mobile
1566975273755,submit,b4811,,diagnosis,,mobile
1566975273836,enter,b2272,,diagnosis,,mobile
1566975312909,respond,q3740,,diagnosis,a,mobile
1566975317535,submit,b2272,,diagnosis,,mobile
1566975317636,enter,b368,,diagnosis,,mobile
1566975318317,play_audio,b368,0,diagnosis,,mobile
1566975331185,respond,q368,,diagnosis,a,mobile
1566975334215,pause_audio,b368,16171,diagnosis,,mobile
1566975339677,submit,b368,,diagnosis,,mobile
1566976887254,enter,b368,,diagnosis,,mobile
1566976887727,play_audio,b368,0,diagnosis,,mobile
1566976903653,pause_audio,b368,16171,diagnosis,,mobile
1566976924181,respond,q368,,diagnosis,a,mobile
1566976934680,erase_choice,q368,,diagnosis,a,mobile
1566976941577,submit,b368,,diagnosis,,mobile
1566977039943,enter,b368,,diagnosis,,mobile
1566977040436,play_audio,b368,0,diagnosis,,mobile
1566977052807,respond,q368,,diagnosis,b,mobile
1566977056340,pause_audio,b368,16177,diagnosis,,mobile
1566977070908,submit,b368,,diagnosis,,mobile
1566977070998,enter,b2446,,diagnosis,,mobile
1566977087161,erase_choice,q3914,,diagnosis,a,mobile
1566977088163,erase_choice,q3914,,diagnosis,b,mobile
1566977104546,respond,q3914,,diagnosis,d,mobile
1566977109714,submit,b2446,,diagnosis,,mobile
1566977109781,enter,b3368,,diagnosis,,mobile
1566977150765,erase_choice,q4836,,diagnosis,d,mobile
1566977177873,respond,q4836,,diagnosis,c,mobile
1566977187647,submit,b3368,,diagnosis,,mobile
1566977187719,enter,b4651,,diagnosis,,mobile
1566977207396,erase_choice,q6119,,diagnosis,d,mobile
1566977211896,respond,q6119,,diagnosis,c,mobile
1566977215980,submit,b4651,,diagnosis,,mobile
1566977216033,enter,b3327,,diagnosis,,mobile
1566977273146,respond,q4795,,diagnosis,b,mobile
1566977279252,submit,b3327,,diagnosis,,mobile
1566977279303,enter,b3061,,diagnosis,,mobile
1566977341065,respond,q4529,,diagnosis,c,mobile
1566977346904,submit,b3061,,diagnosis,,mobile
1566977346967,enter,b3780,,diagnosis,,mobile
1566977362695,respond,q5248,,diagnosis,d,mobile
1566977367701,submit,b3780,,diagnosis,,mobile
1566977367749,enter,b2476,,diagnosis,,mobile
1566977407539,respond,q3944,,diagnosis,d,mobile
1566977420343,erase_choice,q3944,,diagnosis,d,mobile
1566977420826,respond,q3944,,diagnosis,c,mobile
1566977424880,submit,b2476,,diagnosis,,mobile
1566977424948,enter,b3760,,diagnosis,,mobile
1566977447082,respond,q5228,,diagnosis,a,mobile
1566977452391,submit,b3760,,diagnosis,,mobile
1566987556443,enter,b3061,,review_quiz,,mobile
1566987585446,erase_choice,q4529,,review_quiz,c,mobile
1566987588216,respond,q4529,,review_quiz,d,mobile
1566987596918,submit,b3061,,review_quiz,,mobile
1566987596952,enter,e3061,,review_quiz,,mobile
1566987598476,quit,e3061,,review_quiz,,mobile
1566987598526,enter,e3061,,review_quiz,,mobile
1566987658795,quit,e3061,,review_quiz,,mobile
1566987716614,enter,b4811,,review_quiz,,mobile
1566987737475,erase_choice,q6279,,review_quiz,d,mobile
1566987740025,erase_choice,q6279,,review_quiz,a,mobile
1566987743490,erase_choice,q6279,,review_quiz,b,mobile
1566987748475,submit,b4811,,review_quiz,,mobile
1566987748538,enter,e4811,,review_quiz,,mobile
1566987885846,quit,e4811,,review_quiz,,mobile
1566987946497,enter,b3780,,review_quiz,,mobile
1566987982971,respond,q5248,,review_quiz,a,mobile
1566987985643,submit,b3780,,review_quiz,,mobile
1566987985695,enter,e3780,,review_quiz,,mobile
1566988095402,quit,e3780,,review_quiz,,mobile
1566988095459,enter,b2272,,review_quiz,,mobile
1566988112029,erase_choice,q3740,,review_quiz,c,mobile
1566988114846,erase_choice,q3740,,review_quiz,d,mobile
1566988146557,respond,q3740,,review_quiz,b,mobile
1566988151321,submit,b2272,,review_quiz,,mobile
1566988151372,enter,e2272,,review_quiz,,mobile
1566988168357,quit,e2272,,review_quiz,,mobile
1566988168426,enter,b368,,review_quiz,,mobile
